Competiton;City;Year;Day #;Race #;Distance;Gender (race);Solo/ Relay;Repechage;Race type;Heat #;# of skaters;Penalty;First name;Last name;Gender (fallen);Helmet #;Country;Fall / Out of track;Lap #;Turn #;Place of fall;Solo/ Group;Reason of fall;First impact;Second impact;Mattress impact;Head impact;Timing video;Impact speed mean;Impact speed m1;Impact speed m2;Impact speed m3;Not displayed;Comments
World Championships;Seoul;2023;1;4;1500m;Men;Solo;No;Quarterfinals;4;6;Yes;Oleh;Handei;Man;27;Ukraine;Fall;No data;No data;Turn entrance;Group;Skates contact;Butt;None;Yes;None;00:26:16;#DIV/0!;;;;;
World Championships;Montreal;2022;1;14;500m;Men;Solo;No;Preliminaries;1;4;No;Jovan;Djordjevic;Man;35;Serbia;Fall;No data;No data;End of turn;No data;No data;No data;No data;Yes;None;01:24:09;#DIV/0!;;;;x;
World Championships;Seoul;2023;1;4;1500m;Men;Solo;No;Quarterfinals;4;6;Yes;Sjinkie;Knegt;Man;6;The Netherlands;Fall;No data;No data;Turn entrance;Group;Opponent fall;Hand + knee;None;Yes;None;00:26:16;#DIV/0!;;;;;
World Championships;Montreal;2022;1;18;500m;Men;Solo;No;Preliminaries;5;5;Yes;Julian;Macaraeg;Man;42;The Philippines;Fall;No data;No data;End of turn;Group;Opponent contact;Hip;None;Yes;Indirect impact;01:36:27;#DIV/0!;;;;;
World Championships;Seoul;2023;1;6;1500m;Men;Solo;No;Quarterfinals;6;5;No;Jordan;Pierre-Gilles;Man;2;Canada;Out of track;No data;No data;Turn entrance;Group;Opponent contact;None;None;No;None;00:36:03;#DIV/0!;;;;;
World Championships;Montreal;2022;1;18;500m;Men;Solo;No;Preliminaries;5;5;Yes;Sjinkie;Knegt;Man;14;The Netherlands;Fall;No data;None;Start;Group;Opponent contact;Flank;None;Yes;None;01:40:04;#DIV/0!;;;;;
World Championships;Seoul;2023;1;7;1500m;Men;Solo;No;Quarterfinals;7;7;No;Ivan;Martinic;Man;38;Croatia;Fall;No data;No data;Turn;Solo;Cone;Shin;Hip;Yes;None;00:41:55;#DIV/0!;;;;;
World Championships;Montreal;2022;1;18;500m;Men;Solo;No;Preliminaries;5;5;Yes;Peter;Jaszapati;Man;191;Hungary;Fall;No data;None;Start;Group;Opponent contact;Hip;None;Yes;Indirect impact;01:40:04;#DIV/0!;;;;;
World Championships;Seoul;2023;1;8;1500m;Men;Solo;No;Quarterfinals;8;7;No;Friso;Emons;Man;171;The Netherlands;Fall;No data;None;Straight line;Group;Skates contact;Hand + knee;Hip;Yes;None;00:47:20;#DIV/0!;;;;;
World Championships;Montreal;2022;1;19;500m;Men;Solo;No;Preliminaries;6;5;Yes;Ethan;Treacy;Man;131;UK;Fall;No data;No data;Turn;Solo;Sliding;Hip + elbow;None;Yes;None;01:43:58;#DIV/0!;;;;;
World Championships;Seoul;2023;1;13;1500m;Women;Solo;No;Quarterfinals;5;6;No;Petra;Jaszapati;Woman;12;Hungary;Fall;No data;No data;Turn entrance;Group;Opponent contact;Hip;Elbow;Yes;Indirect impact;01:24:59;21,88;16,56;24,59;24,48;;
World Championships;Montreal;2022;1;22;500m;Men;Solo;No;Preliminaries;9;5;No;Michal;Niewinski;Man;27;Poland;Fall;No data;No data;End of turn;Solo;Skate stuck in the ice;Butt;None;Yes;None;01:53:16;#DIV/0!;;;;;
World Championships;Seoul;2023;1;13;1500m;Women;Solo;No;Quarterfinals;5;6;No;Sumire;Kikuchi;Woman;53;Japan;Fall;No data;No data;Turn entrance;Group;Opponent fall;Hip;None;Yes;Indirect impact;01:24:59;#DIV/0!;;;;;
World Championships;Montreal;2022;1;24;500m;Women;Solo;No;Heats;1;5;No;Cynthia;Mascitto;Woman;12;Italy;Fall;No data;No data;Turn;Solo;Sliding;Hip;None;Yes;Indirect impact;02:10:02;#DIV/0!;;;;;
World Championships;Seoul;2023;1;19;500m;Men;Solo;No;Preliminaries;4;5;No;Yanghun Ben;Jung;Man;23;Germany;Fall;No data;No data;End of turn;Solo;Stumbles;Butt;None;Yes;Direct impact;01:59:13;#DIV/0!;;;;;
World Championships;Montreal;2022;1;29;500m;Women;Solo;No;Heats;6;5;No;Eunice;Lee;Woman;154;USA;Fall;No data;No data;End of turn;Solo;No data;Butt;None;Yes;Indirect impact;02:24:19;#DIV/0!;;;;x;
World Championships;Seoul;2023;1;21;500m;Men;Solo;No;Preliminaries;6;5;No;Teun;Boer;Man;172;The Netherlands;Fall;No data;No data;End of turn;Solo;Sliding;Butt;Back;Yes;Indirect impact;02:05:25;#DIV/0!;;;;;
World Championships;Montreal;2022;1;30;500m;Women;Solo;No;Heats;7;5;Yes;Petra;Vankova;Woman;17;Serbia;Fall;No data;No data;End of turn;Group;Opponent contact;Hip + elbow;None;Yes;Indirect impact;02:26:46;#DIV/0!;;;;;
World Championships;Seoul;2023;1;21;500m;Men;Solo;No;Preliminaries;6;5;No;Nico;Andermann;Man;26;Austria;Fall;No data;No data;End of turn;Group;Opponent fall;Abdomen;None;Yes;None;02:05:25;#DIV/0!;;;;;
World Championships;Montreal;2022;1;32;500m;Men;Solo;No;Heats;2;4;Yes;Luca;Spechenhauser;Man;10;Italy;Fall;No data;No data;Turn;Group;Opponent contact;Butt;Back;Yes;None;02:32:59;#DIV/0!;;;;;
World Championships;Seoul;2023;1;25;500m;Men;Solo;No;Preliminaries;10;5;No;Brendan;Corey;Man;21;Australia;Fall;No data;No data;End of turn;Solo;Skate stuck in the ice;Hip;None;Yes;Direct impact;02:15:58;42,14;42,48;41,4;42,55;;
World Championships;Montreal;2022;1;34;500m;Men;Solo;No;Heats;4;4;No;Ward;Petre;Man;95;Belgium;Fall;No data;No data;No data;No data;No data;No data;No data;No data;No data;02:39:35;#DIV/0!;;;;x;
World Championships;Seoul;2023;1;25;500m;Men;Solo;No;Preliminaries;10;5;No;Stefan-Alexander;Kumurdjiev;Man;143;Bulgaria;Fall;No data;No data;End of turn;Solo;Skate stuck in the ice;Hip;None;Yes;Direct impact;02:15:58;#DIV/0!;;;;;
World Championships;Montreal;2022;1;35;500m;Men;Solo;No;Heats;5;4;No;Radek;Fajkus;Man;22;Czech Republic;Fall;No data;No data;Turn;Solo;Skate stuck in the ice;Hand + knee;Shin;Yes;Indirect impact;02:42:44;#DIV/0!;;;;;
World Championships;Seoul;2023;1;26;500m;Men;Solo;No;Preliminaries;11;5;No;Sebastien;Lepape;Man;11;France;Fall;No data;No data;Turn;Solo;Stumbles;Butt;None;Yes;None;02:19:27;#DIV/0!;;;;;
World Championships;Montreal;2022;1;36;500m;Men;Solo;No;Heats;6;4;Yes;Julian;Macaraeg;Man;42;The Philippines;Fall;No data;No data;End of turn;Solo;Skate stuck in the ice;Hip;None;Yes;None;02:47:44;#DIV/0!;;;;;
World Championships;Seoul;2023;1;27;500m;Women;Solo;No;Heats;1;5;No;Renee Marie;Steenge;Woman;116;Canada;Fall;No data;No data;End of turn;Solo;Sliding;Butt;None;Yes;Direct impact;03:25:41;#DIV/0!;;;;;
World Championships;Montreal;2022;1;37;500m;Men;Solo;No;Heats;7;4;No;Furkan;Akar;Man;32;Turkiye;Fall;No data;No data;End of turn;No data;No data;No data;No data;Yes;No data;02:51:48;#DIV/0!;;;;x;
World Championships;Seoul;2023;1;27;500m;Women;Solo;No;Heats;1;5;No;Natalia;Maliszewska;Woman;11;Poland;Fall;No data;None;Straight line;Solo;Stumbles;Elbow + knee;Abdomen;No;None;03:25:47;#DIV/0!;;;;;
World Championships;Montreal;2022;1;39;1000m;Men;Solo;No;Preliminaries;2;5;No;Ivan;Donchev;Man;213;Bulgaria;Fall;No data;None;Straight line;Group;Skates contact;Hip;Elbow + knee;Yes;None;03:45:26;#DIV/0!;;;;;
World Championships;Seoul;2023;1;30;500m;Women;Solo;No;Heats;4;5;No;Yana;Khan;Woman;78;Kazakhstan;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;;#DIV/0!;;;;x;
World Championships;Montreal;2022;1;44;1000m;Men;Solo;No;Preliminaries;7;5;Yes;Ward;Petre;Man;95;Belgium;Fall;No data;No data;Turn entrance;Group;Opponent contact;Hip + elbow;None;Yes;Indirect impact;04:04:40;#DIV/0!;;;;;
World Championships;Seoul;2023;1;30;500m;Women;Solo;No;Heats;4;4;No;Sumire;Kikuchi;Woman;53;Japan;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;;#DIV/0!;;;;x;
