Numéro de test;Zone;Distance capteurs d'une porte (m);Type de test;Vitesse capteurs;Kinovéa1 m1 camLD;Kinovéa1 m1 camV;Kinovéa1 m1 camLD ligne;Kinovéa1 m1 camV ligne;Kinovéa1 m2 camLD;Kinovéa1 m2 camV;Erreur1 km/h m1 camLD;Erreur1 km/h m1 camV;Erreur1 km/h m1 camLD ligne;Erreur1 km/h m1 camV ligne;Erreur1 km/h m2 camLD;Erreur1 km/h m2 camV;Erreur1 % m1 camLD;Erreur1 % m1 camV;Erreur1 % m1 camLD ligne;Erreur1 % m1 camV ligne;Erreur1 % m2 camLD;Erreur1 % m2 camV;Kinovéa2 m1 camLD;Kinovéa2 m1 camV;Kinovéa2 m1 camLD ligne;Kinovéa2 m1 camV ligne ;Kinovéa2 m2 camLD;Kinovéa2 m2 camV;Erreur2 km/h m1 camLD;Erreur2 km/h m1 camV;Erreur2 km/h m1 camLD ligne;Erreur2 km/h m1 camV ligne;Erreur2 km/h m2 camLD;Erreur2 km/h m2 camV;Erreur2 % m1 camLD;Erreur2 % m1 camV;Erreur2 % m1 camLD ligne;Erreur2 % m1 camV ligne;Erreur2 % m2 camLD;Erreur2 % m2 camV;Trajectoire;Image K1;Image K2;Commentaires
Apex 1;Apex;2;vitesse;34,6;34;35,63;32,05;;33,86;37,42;0,6;1,03;2,55;;0,74;2,82;1,73;2,98;7,37;;2,14;8,15;34,93;35,25;32,19;;32,38;35,34;0,33;0,65;2,41;;2,22;0,74;0,95;1,88;6,97;;6,42;2,14;Courbe;;;
Apex 2;Apex;2;vitesse;36,3;38,31;42,61;37,22;;38,87;45,01;2,01;6,31;0,92;;2,57;8,71;5,54;17,38;2,53;;7,08;23,99;39,72;43,18;37,61;;37,31;43,45;3,42;6,88;1,31;;1,01;7,15;9,42;18,95;3,61;;2,78;19,7;Courbe;;;Grille plots adaptée selon le repère de coordonnées
Apex 3;Apex;2;vitesse;36,2;39,88;40,83;38,69;;39,61;49,7;3,68;4,63;2,49;;3,41;13,5;10,17;12,79;6,88;;9,42;37,29;40,49;45,68;38,85;;38,19;46,37;4,29;9,48;2,65;;1,99;10,17;11,85;26,19;7,32;;5,5;28,09;Courbe;;;
Apex 4;Apex;2;vitesse;36;38,75;34,55;36,78;;39,18;42,86;2,75;1,45;0,78;;3,18;6,86;7,64;4,03;2,17;;8,83;19,06;38,92;37,98;37,31;;36,65;40,85;2,92;1,98;1,31;;0,65;4,85;8,11;5,5;3,64;;1,81;13,47;Courbe;;;
Apres Apex 1;Après Apex;2;vitesse;31,6;31,7;31,82;27,02;;31,92;37,51;0,1;0,22;4,58;;0,32;5,91;0,32;0,7;14,49;;1,01;18,7;31,22;32,17;29,5;;29,64;41,28;0,38;0,57;2,1;;1,96;9,68;1,2;1,8;6,65;;6,2;30,63;Courbe;;;
Apres Apex 2;Après Apex;2;vitesse;36,3;38,98;34,36;30,75;;38,77;37,15;2,68;1,94;5,55;;2,47;0,85;7,38;5,34;15,29;;6,8;2,34;36,85;36,49;33,97;;36,33;43,94;0,55;0,19;2,33;;0,03;7,64;1,52;0,52;6,42;;0,08;21,05;Courbe;;;
SV 1;SV;2;vitesse;31,9;30,35;56,68;;32,05;30,57;32,23;1,55;24,78;;0,15;1,33;0,33;4,86;77,68;;0,47;4,17;1,03;31,25;48,35;;30,74;29,15;32,11;0,65;16,45;;1,16;2,75;0,21;2,04;51,57;;3,64;8,62;0,66;Rectiligne;https://devinci-my.sharepoint.com/personal/marie_salomon_edu_devinci_fr/Documents/ESILV/A4-SB/Stage/Projet/Kinovéa/Résultats%20test%20de%20mesures/Images/SV1_camApex.PNG;; 
SV 2;SV;2;vitesse;33,4;29,22;65,23;;34,78;30,45;37,02;4,18;31,83;;1,38;2,95;3,62;12,51;95,3;;4,13;8,83;10,84;24,51;53,54;;33,47;24,87;41,82;8,89;20,14;;0,07;8,53;8,42;26,62;60,3;;0,21;25,54;25,21;Rectiligne;https://devinci-my.sharepoint.com/personal/marie_salomon_edu_devinci_fr/Documents/ESILV/A4-SB/Stage/Projet/Kinovéa/Résultats%20test%20de%20mesures/Images/SV2_camApex.PNG;;
SV 3;SV;2;vitesse;39,7;28,25;61,6;;34,42;32,74;41,55;11,45;21,9;;5,28;6,96;1,85;28,84;55,16;;13,3;17,53;4,66;31,92;52,9;;33,3;31,97;40,84;7,78;13,2;;6,4;7,73;1,14;19,6;33,25;;16,12;19,47;2,87;Rectiligne;;;
LD 1;LD;2;vitesse;33,5;28,19;54,43;;33,31;31,04;33,47;5,31;20,93;;0,19;2,46;0,03;15,85;62,48;;0,57;7,34;0,09;31,08;54,8;;35,94;32,42;36,24;2,42;21,3;;2,44;1,08;2,74;7,22;63,58;;7,28;3,22;8,18;Rectiligne;;;
LD 2;LD;2;vitesse;35,1;24,94;52,36;;33,66;27,14;34,87;10,16;17,26;;1,44;7,96;0,23;28,95;49,17;;4,1;22,68;0,66;24,29;56,83;;35,55;29,3;36,85;10,81;21,73;;0,45;5,8;1,75;30,8;61,91;;1,28;16,52;4,99;Rectiligne;;;
